,press,title,date
0,조선일보,코로나 이겨내고 엄마는 ‘희망’을 낳았다,20210101
1,조선일보,"靑비서실장 유영민, 민정수석에 신현수",20210101
2,조선일보,"이재명 18.2%, 이낙연 16.2%, 윤석열 15.1%..오차범위 내 3강 구도",20210101
3,조선일보,"[신년 희망 에세이] 난 그래도 낙관한다, 눈에도 바람에도 지지않기를",20210101
4,조선일보,[알립니다] 제65회 신문의날 표어 공모합니다,20210101
5,조선일보,"유영민, 두달 전 비서실장 되나 묻자 “풀 뜯고 사는데 무슨...”",20210101
6,조선일보,노영민 “대통령 제대로 보필 못해 죄송”,20210101
7,조선일보,김상조 사의 반려한 文대통령 “현안 많아 교체할 때 아니다”,20210101
8,조선일보,"與후보 적합도, 이재명·이낙연 順… 野선 윤석열·홍준표 順",20210101
9,조선일보,"“野후보 찍어 정권교체” 49.9%, “與후보 뽑아 정권유지” 34.8%",20210101
10,조선일보,"지지층 성향으로 보면… 이낙연 ‘親文’, 이재명 ‘非文’, 윤석열 ‘反文’",20210101
11,조선일보,“文정권 검찰개혁 취지 변질” 57.5% …‘취지 부합’ 답변의 2배,20210101
12,조선일보,"“방역 잘하고 있어” 54.2%, “정부 백신대응 잘못” 53.4%",20210101
13,조선일보,"“공정성 악화” 56%, “사회통합 악화” 64%, “소득분배 악화” 70%",20210101
14,조선일보,당신이 본 유튜브 70%는 알고리즘이 추천… 자신도 모르게 중독,20210101
15,조선일보,"네이버·카카오 추천뉴스, 사실 여부보다 더 많은 클릭받을 기사 골라",20210101
16,조선일보,클릭 몇번에... 중도층이 어느새 좌우 극단 지지자로,20210101
17,조선일보,소셜미디어 이용 10명 중 3명 “정치적 견해 달라 친구 끊은적 있어”,20210101
18,조선일보,보수·진보 채널 각각 하루 15번 봤더니… 한쪽만 200개 넘게 쏟아져,20210101
19,조선일보,‘국민’ 14번 언급한 윤석열 신년사,20210101
20,조선일보,"한수원, 정부에 신한울 3·4호기 허가 연장 요청",20210101
