,date,press,0_percent,1_percent,2_percent,뉴스개수
0,20210601,일반언론,0.2702702702702703,0.10270270270270271,0.6270270270270271,740.0
1,20210602,일반언론,0.2536656891495601,0.12316715542521994,0.6231671554252199,682.0
2,20210603,일반언론,0.2594670406732118,0.09957924263674614,0.6409537166900421,713.0
3,20210604,일반언론,0.2562326869806094,0.1260387811634349,0.6177285318559557,722.0
4,20210605,일반언론,0.32413793103448274,0.09425287356321839,0.5816091954022988,435.0
5,20210607,일반언론,0.26991869918699185,0.1024390243902439,0.6276422764227643,615.0
6,20210608,일반언론,0.2624113475177305,0.1148936170212766,0.6226950354609929,705.0
7,20210609,일반언론,0.29108635097493035,0.11977715877437325,0.5891364902506964,718.0
8,20210610,일반언론,0.2679355783308931,0.13177159590043924,0.6002928257686676,683.0
9,20210611,일반언론,0.23295454545454544,0.10653409090909091,0.6605113636363636,704.0
10,20210612,일반언론,0.2894736842105263,0.09210526315789473,0.618421052631579,456.0
11,20210614,일반언론,0.2652733118971061,0.09485530546623794,0.639871382636656,622.0
12,20210615,일반언론,0.2178932178932179,0.1038961038961039,0.6782106782106783,693.0
13,20210616,일반언론,0.23809523809523808,0.10714285714285714,0.6547619047619048,672.0
14,20210617,일반언론,0.26207906295754024,0.10248901903367497,0.6354319180087847,683.0
15,20210618,일반언론,0.2524682651622003,0.10437235543018336,0.6431593794076164,709.0
16,20210619,일반언론,0.3416856492027335,0.0774487471526196,0.5808656036446469,439.0
17,20210621,일반언론,0.2926829268292683,0.1024390243902439,0.6048780487804878,615.0
18,20210622,일반언론,0.2895480225988701,0.1228813559322034,0.5875706214689266,708.0
19,20210623,일반언론,0.2741046831955923,0.12396694214876033,0.6019283746556474,726.0
20,20210624,일반언론,0.2843273231622746,0.09431345353675451,0.6213592233009708,721.0
21,20210625,일반언론,0.2661064425770308,0.09943977591036414,0.634453781512605,714.0
22,20210626,일반언론,0.2631578947368421,0.0861244019138756,0.6507177033492823,418.0
23,20210628,일반언론,0.25,0.12205882352941176,0.6279411764705882,680.0
24,20210629,일반언론,0.23949579831932774,0.11064425770308123,0.6498599439775911,714.0
25,20210630,일반언론,0.23042168674698796,0.11144578313253012,0.6581325301204819,664.0
26,20210701,일반언론,0.2614795918367347,0.11862244897959184,0.6198979591836735,784.0
27,20210702,일반언론,0.27358490566037735,0.10646900269541779,0.6199460916442049,742.0
28,20210703,일반언론,0.34894613583138173,0.08899297423887588,0.5620608899297423,427.0
29,20210705,일반언론,0.3167202572347267,0.12057877813504823,0.5627009646302251,622.0
30,20210706,일반언론,0.24152542372881355,0.13135593220338984,0.6271186440677966,708.0
31,20210707,일반언론,0.27896995708154504,0.10872675250357654,0.6123032904148784,699.0
32,20210708,일반언론,0.2892086330935252,0.1237410071942446,0.5870503597122302,695.0
33,20210709,일반언론,0.3185378590078329,0.13577023498694518,0.5456919060052219,766.0
34,20210710,일반언론,0.38461538461538464,0.058823529411764705,0.5565610859728507,442.0
35,20210712,일반언론,0.3118279569892473,0.09984639016897082,0.5883256528417818,651.0
36,20210713,일반언론,0.3125,0.08866279069767442,0.5988372093023255,688.0
37,20210714,일반언론,0.3430232558139535,0.09593023255813954,0.561046511627907,688.0
38,20210715,일반언론,0.3399715504978663,0.09246088193456614,0.5675675675675675,703.0
39,20210716,일반언론,0.31024531024531027,0.09812409812409813,0.5916305916305916,693.0
40,20210717,일반언론,0.31555555555555553,0.044444444444444446,0.64,450.0
41,20210719,일반언론,0.3293051359516616,0.09214501510574018,0.5785498489425982,662.0
42,20210720,일반언론,0.32994186046511625,0.09156976744186046,0.5784883720930233,688.0
43,20210721,일반언론,0.31334332833583206,0.1199400299850075,0.5667166416791605,667.0
44,20210722,일반언론,0.30484330484330485,0.11538461538461539,0.5797720797720798,702.0
45,20210723,일반언론,0.30612244897959184,0.1151603498542274,0.5787172011661808,686.0
46,20210724,일반언론,0.3218884120171674,0.09227467811158799,0.5858369098712446,466.0
47,20210726,일반언론,0.2909090909090909,0.07933884297520662,0.6297520661157024,605.0
48,20210727,일반언론,0.2966360856269113,0.11773700305810397,0.5856269113149847,654.0
49,20210728,일반언론,0.279320987654321,0.16666666666666666,0.5540123456790124,648.0
50,20210729,일반언론,0.2894356005788712,0.14616497829232997,0.5643994211287988,691.0
51,20210730,일반언론,0.28263988522238165,0.11621233859397417,0.6011477761836442,697.0
52,20210731,일반언론,0.2853932584269663,0.11235955056179775,0.6022471910112359,445.0
53,20210802,일반언론,0.34572490706319703,0.10780669144981413,0.5464684014869888,538.0
54,20210803,일반언론,0.33169129720853857,0.10837438423645321,0.5599343185550082,609.0
55,20210804,일반언론,0.3524451939291737,0.11298482293423272,0.5345699831365935,593.0
56,20210805,일반언론,0.29833333333333334,0.14,0.5616666666666666,600.0
57,20210806,일반언론,0.3137254901960784,0.08660130718954248,0.5996732026143791,612.0
58,20210807,일반언론,0.3325635103926097,0.11778290993071594,0.5496535796766744,433.0
59,20210809,일반언론,0.3176470588235294,0.10588235294117647,0.5764705882352941,595.0
60,20210810,일반언론,0.26519337016574585,0.12569060773480664,0.6091160220994475,724.0
61,20210811,일반언론,0.2986425339366516,0.14027149321266968,0.5610859728506787,663.0
62,20210812,일반언론,0.3183791606367583,0.08827785817655572,0.5933429811866859,691.0
63,20210813,일반언론,0.31512605042016806,0.11904761904761904,0.5658263305322129,714.0
64,20210814,일반언론,0.37553648068669526,0.0944206008583691,0.5300429184549357,466.0
65,20210816,일반언론,0.3935091277890467,0.0973630831643002,0.5091277890466531,493.0
