,date,press,0_percent,1_percent,2_percent,뉴스개수
0,20210601,일반언론,0.26356589147286824,0.08914728682170543,0.6472868217054264,258
1,20210602,일반언론,0.22707423580786026,0.14847161572052403,0.6244541484716157,229
2,20210603,일반언론,0.2682926829268293,0.09349593495934959,0.6382113821138211,246
3,20210604,일반언론,0.23660714285714285,0.14285714285714285,0.6205357142857143,224
4,20210605,일반언론,0.3082191780821918,0.0821917808219178,0.6095890410958904,146
5,20210607,일반언론,0.24761904761904763,0.12380952380952381,0.6285714285714286,210
6,20210608,일반언론,0.2125,0.14583333333333334,0.6416666666666667,240
7,20210609,일반언론,0.29957805907172996,0.11814345991561181,0.5822784810126582,237
8,20210610,일반언론,0.26576576576576577,0.14864864864864866,0.5855855855855856,222
9,20210611,일반언론,0.20353982300884957,0.08849557522123894,0.7079646017699115,226
10,20210612,일반언론,0.3263888888888889,0.10416666666666667,0.5694444444444444,144
11,20210614,일반언론,0.26066350710900477,0.09004739336492891,0.6492890995260664,211
12,20210615,일반언론,0.21074380165289255,0.08677685950413223,0.7024793388429752,242
13,20210616,일반언론,0.2576419213973799,0.11353711790393013,0.62882096069869,229
14,20210617,일반언론,0.21794871794871795,0.13247863247863248,0.6495726495726496,234
15,20210618,일반언론,0.2663755458515284,0.10480349344978165,0.62882096069869,229
16,20210619,일반언론,0.3469387755102041,0.09523809523809523,0.5578231292517006,147
17,20210621,일반언론,0.22815533980582525,0.12135922330097088,0.6504854368932039,206
18,20210622,일반언론,0.2663755458515284,0.14410480349344978,0.5895196506550219,229
19,20210623,일반언론,0.24050632911392406,0.1518987341772152,0.6075949367088608,237
20,20210624,일반언론,0.22641509433962265,0.09811320754716982,0.6754716981132075,265
21,20210625,일반언론,0.2544642857142857,0.11160714285714286,0.6339285714285714,224
22,20210626,일반언론,0.2846715328467153,0.10948905109489052,0.6058394160583942,137
23,20210628,일반언론,0.2222222222222222,0.09876543209876543,0.6790123456790124,243
24,20210629,일반언론,0.21311475409836064,0.11475409836065574,0.6721311475409836,244
25,20210630,일반언론,0.2374429223744292,0.1095890410958904,0.6529680365296804,219
26,20210701,일반언론,0.26639344262295084,0.11475409836065574,0.6188524590163934,244
27,20210702,일반언론,0.2773109243697479,0.12184873949579832,0.6008403361344538,238
28,20210703,일반언론,0.3953488372093023,0.11627906976744186,0.4883720930232558,129
29,20210705,일반언론,0.2548076923076923,0.16346153846153846,0.5817307692307693,208
30,20210706,일반언론,0.23580786026200873,0.11353711790393013,0.6506550218340611,229
31,20210707,일반언론,0.248868778280543,0.10407239819004525,0.6470588235294118,221
32,20210708,일반언론,0.2831858407079646,0.13274336283185842,0.584070796460177,226
33,20210709,일반언론,0.2701612903225806,0.16129032258064516,0.5685483870967742,248
34,20210710,일반언론,0.3835616438356164,0.07534246575342465,0.541095890410959,146
35,20210712,일반언론,0.28019323671497587,0.0821256038647343,0.6376811594202898,207
36,20210713,일반언론,0.2918454935622318,0.08583690987124463,0.6223175965665236,233
