,date,press_x,0_percent_x,1_percent_x,2_percent_x,뉴스개수_x,press_y,0_percent_y,1_percent_y,2_percent_y,뉴스개수_y
0,20210601,일반언론,0.2702702702702703,0.1027027027027027,0.6270270270270271,740.0,네이버금융,0.3571428571428571,0.5,0.1428571428571428,14
1,20210602,일반언론,0.2536656891495601,0.1231671554252199,0.6231671554252199,682.0,네이버금융,0.5,0.3888888888888889,0.1111111111111111,18
2,20210603,일반언론,0.2594670406732118,0.0995792426367461,0.6409537166900421,713.0,네이버금융,0.1578947368421052,0.7368421052631579,0.1052631578947368,19
3,20210604,일반언론,0.2562326869806094,0.1260387811634349,0.6177285318559557,722.0,네이버금융,0.7894736842105263,0.1052631578947368,0.1052631578947368,19
4,20210605,일반언론,0.3241379310344827,0.0942528735632183,0.5816091954022988,435.0,네이버금융,0.0,1.0,0.0,2
5,20210606,,,,,,네이버금융,0.25,0.25,0.5,8
6,20210607,일반언론,0.2699186991869918,0.1024390243902439,0.6276422764227643,615.0,네이버금융,0.6153846153846154,0.3846153846153846,0.0,13
7,20210608,일반언론,0.2624113475177305,0.1148936170212766,0.6226950354609929,705.0,네이버금융,0.55,0.1,0.35,20
8,20210609,일반언론,0.2910863509749303,0.1197771587743732,0.5891364902506964,718.0,네이버금융,0.625,0.1875,0.1875,16
9,20210610,일반언론,0.2679355783308931,0.1317715959004392,0.6002928257686676,683.0,네이버금융,0.631578947368421,0.0526315789473684,0.3157894736842105,19
10,20210611,일반언론,0.2329545454545454,0.1065340909090909,0.6605113636363636,704.0,네이버금융,0.5263157894736842,0.3157894736842105,0.1578947368421052,19
11,20210612,일반언론,0.2894736842105263,0.0921052631578947,0.618421052631579,456.0,네이버금융,0.3333333333333333,0.6666666666666666,0.0,3
12,20210613,,,,,,네이버금융,0.2857142857142857,0.0,0.7142857142857143,7
13,20210614,일반언론,0.2652733118971061,0.0948553054662379,0.639871382636656,622.0,네이버금융,0.5,0.25,0.25,12
14,20210615,일반언론,0.2178932178932179,0.1038961038961039,0.6782106782106783,693.0,네이버금융,0.3,0.5,0.2,20
15,20210616,일반언론,0.238095238095238,0.1071428571428571,0.6547619047619048,672.0,네이버금융,0.2631578947368421,0.4210526315789473,0.3157894736842105,19
16,20210617,일반언론,0.2620790629575402,0.1024890190336749,0.6354319180087847,683.0,네이버금융,0.5,0.2222222222222222,0.2777777777777778,18
17,20210618,일반언론,0.2524682651622003,0.1043723554301833,0.6431593794076164,709.0,네이버금융,0.4736842105263157,0.2631578947368421,0.2631578947368421,19
18,20210619,일반언론,0.3416856492027335,0.0774487471526196,0.5808656036446469,439.0,네이버금융,1.0,0.0,0.0,3
19,20210620,,,,,,네이버금융,0.0,0.5714285714285714,0.4285714285714285,7
20,20210621,일반언론,0.2926829268292683,0.1024390243902439,0.6048780487804878,615.0,네이버금융,0.75,0.1666666666666666,0.0833333333333333,12
21,20210622,일반언론,0.2895480225988701,0.1228813559322034,0.5875706214689266,708.0,네이버금융,0.3,0.5,0.2,20
22,20210623,일반언론,0.2741046831955923,0.1239669421487603,0.6019283746556474,726.0,네이버금융,0.4736842105263157,0.4736842105263157,0.0526315789473684,19
23,20210624,일반언론,0.2843273231622746,0.0943134535367545,0.6213592233009708,721.0,네이버금융,0.7,0.15,0.15,20
24,20210625,일반언론,0.2661064425770308,0.0994397759103641,0.634453781512605,714.0,네이버금융,0.4705882352941176,0.4705882352941176,0.0588235294117647,17
25,20210626,일반언론,0.2631578947368421,0.0861244019138756,0.6507177033492823,418.0,네이버금융,0.5,0.5,0.0,2
26,20210627,,,,,,네이버금융,0.0,0.8,0.2,5
27,20210628,일반언론,0.25,0.1220588235294117,0.6279411764705882,680.0,네이버금융,0.4166666666666667,0.25,0.3333333333333333,12
28,20210629,일반언론,0.2394957983193277,0.1106442577030812,0.6498599439775911,714.0,네이버금융,0.5,0.25,0.25,20
29,20210630,일반언론,0.2304216867469879,0.1114457831325301,0.6581325301204819,664.0,네이버금융,0.5263157894736842,0.4210526315789473,0.0526315789473684,19
30,20210701,일반언론,0.2614795918367347,0.1186224489795918,0.6198979591836735,784.0,네이버금융,0.6111111111111112,0.2777777777777778,0.1111111111111111,18
31,20210702,일반언론,0.2735849056603773,0.1064690026954177,0.6199460916442049,742.0,네이버금융,0.55,0.35,0.1,20
32,20210703,일반언론,0.3489461358313817,0.0889929742388758,0.5620608899297423,427.0,네이버금융,0.0,1.0,0.0,2
33,20210704,,,,,,네이버금융,0.0,0.625,0.375,8
34,20210705,일반언론,0.3167202572347267,0.1205787781350482,0.5627009646302251,622.0,네이버금융,0.2727272727272727,0.6363636363636364,0.0909090909090909,11
35,20210706,일반언론,0.2415254237288135,0.1313559322033898,0.6271186440677966,708.0,네이버금융,0.3333333333333333,0.4666666666666667,0.2,15
36,20210707,일반언론,0.278969957081545,0.1087267525035765,0.6123032904148784,699.0,네이버금융,0.5882352941176471,0.2352941176470588,0.1764705882352941,17
37,20210708,일반언론,0.2892086330935252,0.1237410071942446,0.5870503597122302,695.0,네이버금융,0.7777777777777778,0.1111111111111111,0.1111111111111111,18
38,20210709,일반언론,0.3185378590078329,0.1357702349869451,0.5456919060052219,766.0,네이버금융,0.8823529411764706,0.0,0.1176470588235294,17
39,20210710,일반언론,0.3846153846153846,0.0588235294117647,0.5565610859728507,442.0,네이버금융,0.0,1.0,0.0,2
40,20210711,,,,,,네이버금융,0.5714285714285714,0.2857142857142857,0.1428571428571428,7
