,press,title,date,url
0,네이버금융,보합권 머무는 증시…日·中은 상승,2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
1,네이버금융," 코스피, 외국인 '매수'에 반등 2490선 마감…환율 8.1원↑",2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
2,네이버금융,장 초반 상승세…英 0.38%↑,2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
3,네이버금융," 코스피, 외국인·개인 매수세에 상승 마감…“7월 CPI 발표 변수”",2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
4,네이버금융,"코스피, 외국인 매수세 유입…2490선 마감",2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
5,네이버금융, 개인 ‘사자’ vs 외인·기관 ‘팔자’… 830선 약보합,2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
6,네이버금융,"美 긴축 우려+中 위안 약세…환율, 8원 올라 1300원대",2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
7,네이버금융,"""美연준 또 금리 0.75%P 올릴까?"" 증시는 혼조",2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
8,네이버금융,"""달러화 강세 확대·전기차 업종 하락…이번주 변동성 확대 유의""",2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
9,네이버금융,"美고용 호조에 강달러…환율, 1300원대 상승 예상",2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
10,네이버금융, 주식형 펀드 자금 '쑥'…1119억원 순유출,2022-08-08,https://finance.naver.com/news/mainnews.naver?date=2022-08-08
