date,Open,High,Low,Close,거래량,거래대금,상장시가총액,Change,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210630,1023.74,1030.94,1023.74,1029.96,2086090133,10424600000000.0,430852000000000.0,0.72761413,일반언론,0.23042168674698796,0.11144578313253012,0.6581325301204819,664.0,네이버금융,0.5263157894736842,0.42105263157894735,0.05263157894736842,19,153.0,74.0,437.0,10.0,8.0,1.0
20210701,1030.48,1036.47,1028.48,1035.64,1686829722,11193200000000.0,433343000000000.0,0.551477727,일반언론,0.2614795918367347,0.11862244897959184,0.6198979591836735,784.0,네이버금융,0.6111111111111112,0.2777777777777778,0.1111111111111111,18,205.0,93.0,486.0,11.0,5.0,2.0
20210702,1036.28,1038.54,1033.94,1038.18,1685412039,12315400000000.0,434368000000000.0,0.24525897,일반언론,0.27358490566037735,0.10646900269541779,0.6199460916442049,742.0,네이버금융,0.55,0.35,0.1,20,203.0,79.0,460.0,11.0,7.0,2.0
20210705,1039.79,1048.16,1039.79,1047.33,1743060742,13870100000000.0,438134000000000.0,0.881350055,일반언론,0.32983794089609153,0.10772163965681601,0.5624404194470924,1049.0,네이버금융,0.14285714285714285,0.6666666666666666,0.19047619047619047,21,346.0,113.0,590.0,3.0,14.0,4.0
20210706,1047.6,1049.24,1043.51,1044.96,1964143239,12052400000000.0,436409000000000.0,-0.226289708,일반언론,0.24152542372881355,0.13135593220338984,0.6271186440677966,708.0,네이버금융,0.3333333333333333,0.4666666666666667,0.2,15,171.0,93.0,444.0,5.0,7.0,3.0
20210707,1045.0,1050.31,1042.42,1047.36,1692983960,13770400000000.0,437765000000000.0,0.229673863,일반언론,0.27896995708154504,0.10872675250357654,0.6123032904148784,699.0,네이버금융,0.5882352941176471,0.23529411764705882,0.17647058823529413,17,195.0,76.0,428.0,10.0,4.0,3.0
20210708,1047.96,1049.95,1028.14,1034.48,1869433462,15076500000000.0,432463000000000.0,-1.229758631,일반언론,0.2892086330935252,0.1237410071942446,0.5870503597122302,695.0,네이버금융,0.7777777777777778,0.1111111111111111,0.1111111111111111,18,201.0,86.0,408.0,14.0,2.0,2.0
20210709,1031.78,1031.78,1013.91,1028.93,2188638702,16117000000000.0,430338000000000.0,-0.536501431,일반언론,0.3185378590078329,0.13577023498694518,0.5456919060052219,766.0,네이버금융,0.8823529411764706,0.0,0.11764705882352941,17,244.0,104.0,418.0,15.0,0.0,2.0
20210712,1030.36,1037.01,1030.36,1034.64,1716579256,10521200000000.0,432782000000000.0,0.554945429,일반언론,0.3412625800548948,0.08325709057639524,0.57548032936871,1093.0,네이버금융,0.3,0.55,0.15,20,373.0,91.0,629.0,6.0,11.0,3.0
20210713,1035.68,1044.64,1035.68,1043.31,1706838384,12868900000000.0,436638000000000.0,0.837972628,일반언론,0.3125,0.08866279069767442,0.5988372093023255,688.0,네이버금융,0.42105263157894735,0.42105263157894735,0.15789473684210525,19,215.0,61.0,412.0,8.0,8.0,3.0
20210714,1043.5,1045.45,1038.68,1044.98,1714355799,12921500000000.0,437311000000000.0,0.160067478,일반언론,0.3430232558139535,0.09593023255813954,0.561046511627907,688.0,네이버금융,0.625,0.3125,0.0625,16,236.0,66.0,386.0,10.0,5.0,1.0
20210715,1046.57,1055.82,1046.57,1054.31,2057346426,14717700000000.0,441302000000000.0,0.892840054,일반언론,0.3399715504978663,0.09246088193456614,0.5675675675675675,703.0,네이버금융,0.5,0.4375,0.0625,16,239.0,65.0,399.0,8.0,7.0,1.0
20210716,1053.85,1053.95,1044.7,1051.98,1728614265,11962100000000.0,439278000000000.0,-0.220997619,일반언론,0.31024531024531027,0.09812409812409813,0.5916305916305916,693.0,네이버금융,0.9444444444444444,0.0,0.05555555555555555,18,215.0,68.0,410.0,17.0,0.0,1.0
