,press,title,date
0,네이버금융, 경기회복 기대감에 상승,20210701
1,네이버금융,"환율, 7원 올라 사흘만에 1130원대 안착",20210701
2,네이버금융, 코스피 ‘울상’... 코스닥은 올해 최고가,20210701
3,네이버금융,'외인+기관 팔자' 코스피 3280선 후퇴…SK이노 8.8%↓,20210701
4,네이버금융,"코스피, 델타 변이 우려에 0.4% 하락",20210701
5,네이버금융,"코스피, 델타 변이 우려에 0.4% 하락",20210701
6,네이버금융,연중 종가 최고점 경신…‘1035.66’,20210701
7,네이버금융,연중 종가 최고점 경신…‘1035.66’,20210701
8,네이버금융," 코스피, 기관·외인 매도에 보합···3,280선 등락 거듭",20210701
9,네이버금융,"美 고용지표 호조에 달러강세..환율, 1130원대 상승 전망",20210701
10,네이버금융,"2분기 실적 시즌 돌입...""종목·업종별 차별화 장세 전망""",20210701
11,네이버금융,"2분기 실적 시즌 돌입...""종목·업종별 차별화 장세 전망""",20210701
12,네이버금융, 델타 변이 확산·인플레 우려에 일제히 하락,20210701
13,네이버금융,화려한 상반기 마무리…다우 승자는 '골드만' ,20210701
14,네이버금융,이재명 대선 출마선언…비수도권 8인모임 가능,20210701
15,네이버금융, 韓 채권형펀드 하루새 165억원 순유입,20210701
16,네이버금융,계속되는 낙관론···S&P 사상 또 사상 최고치 ,20210701
17,네이버금융, 세계 곳곳 퍼지는 델타 변이 우려 속 하락,20210701
18,네이버금융, 세계 곳곳 퍼지는 델타 변이 우려 속 하락,20210702
19,네이버금융," 코스피, 투심 위축에 약보합…삼성전자 8만선 턱걸이",20210702
20,네이버금융," 코스피, 투심 위축에 약보합…삼성전자 8만선 턱걸이",20210702
21,네이버금융," 코스피, 델타 바이러스 확산 우려에 약보합… 코스닥은 2000년 이후 최고치",20210702
22,네이버금융,외인+기관 매도에 코스피 약보합…코스닥은 또 '연중 최고치',20210702
23,네이버금융,"달러 강세, 위안화 약세..환율, 2거래일째 1130원대 상승",20210702
24,네이버금융,이틀 연속 연중 최고치 경신…1038.18,20210702
25,네이버금융,이틀 연속 연중 최고치 경신…1038.18,20210702
26,네이버금융,"""변동성 잠잠할 때 풋옵션 활용하라"" ",20210702
27,네이버금융," 코스피, 美 증시발 훈풍에 상승 출발",20210702
28,네이버금융,"美고용회복 완연, 강달러..환율, 1130원대 중반 전망",20210702
29,네이버금융,델타 변이 우려와 기업 실적 기대감의 공존,20210702
30,네이버금융, OPEC+ 회의 연장 소식에 상승..WTI 75달러 돌파,20210702
31,네이버금융, 경기회복 낙관론에 소폭 상승,20210702
32,네이버금융, 韓 채권형펀드 하루동안 5232억원 순유출,20210702
33,네이버금융,"뉴욕증시, 지표 호조 속 '상승'…WTI 75달러 돌파 ",20210702
34,네이버금융,"S&P '또 사상최고' 경신...""상승모멘텀 충분""",20210702
35,네이버금융,S&P 또 사상 최고치···WTI 75달러 돌파 ,20210702
36,네이버금융, 삼성전자 2분기 실적에 두근두근…'메타버스'도 관심집중,20210702
37,네이버금융, 경기 회복 낙관론 속 일제히 상승,20210702
38,네이버금융,"S&P '7일연속' 최고치 경신, 대형기술주 'UP'",20210703
39,네이버금융, 델타 변이 우려·경기 회복 기대 속 혼조 마감,20210703
40,네이버금융,2분기 실적 상승 기대감 ‘쑥’ 델타 변이 확산세는 변수로 ,20210704
41,네이버금융," 신고가 후 주춤한 코스피, 수출 호조 속 '어닝시즌' 주목",20210704
42,네이버금융, 2분기 어닝시즌 개막…상승세 지속,20210704
43,네이버금융,"델타 변이 속 '어닝시즌' 맞은 코스피, '실적' 주목",20210704
44,네이버금융, 中판호 발급 소식에 게임 펀드 ‘훨훨’,20210704
45,네이버금융,"""아직 두려워 할 때 아니다"" 성장주 갈아탈까 ",20210704
46,네이버금융, 2분기 실적 발표에 집중,20210704
47,네이버금융, 2분기 실적 발표에 집중,20210704
48,네이버금융, 코스닥 사흘째 신고가 경신... 코스피 0.35% 상승,20210705
49,네이버금융, 코스닥 사흘째 신고가 경신... 코스피 0.35% 상승,20210705
50,네이버금융,"코스피, 3293선 마감…코스닥 6거래일 상승",20210705
51,네이버금융, 코스피 3290선 회복…코스닥 3일째 연고점,20210705
52,네이버금융, 코스피 3290선 회복…코스닥 3일째 연고점,20210705
53,네이버금융,"환율, 사흘 만에 하락..1130원대는 지지",20210705
54,네이버금융,기관·외인 '사자'…3거래일째 年최고 돌파,20210705
55,네이버금융,기관·외인 '사자'…3거래일째 年최고 돌파,20210705
56,네이버금융,"美 엇갈린 고용지표에 ""골디락스 국면""…국내 증시 영향은?",20210705
57,네이버금융,"美 고용 호조에도 조기 긴축 없다..환율, 1120원대로 하락하나",20210705
58,네이버금융, 국내채권형 순유입 다시 시작,20210705
59,네이버금융, 국내채권형 순유입 다시 시작,20210706
60,네이버금융, 증강현실 광고 수혜주 '스냅' 한달새 11% 쑥,20210706
61,네이버금융,"환율, 나흘만에 1130원대 깨져..국내 증시 외국인 자금 유입",20210706
62,네이버금융,"환율, 나흘만에 1130원대 깨져..국내 증시 외국인 자금 유입",20210706
63,네이버금융,'외인+기관 쌍끌이' 코스피 3300선 회복…코스닥은 하락,20210706
64,네이버금융,"""쉬어가자""…기관·외인 매도에 소폭 하락",20210706
65,네이버금융," 코스피, 3305.21 마감… 7일 만에 종가 최고치 경신",20210706
66,네이버금융," 코스피, 3305.21 마감… 7일 만에 종가 최고치 경신",20210706
67,네이버금융,"코스피 상승 출발···3,300선 회복",20210706
68,네이버금융, OPEC+ 회담 또 다시 취소…유가 급등,20210706
69,네이버금융,"위험선호 심리 vs 달러 저가 매수..환율, 1130원대 공방",20210706
70,네이버금융," 국제유가, OPEC+ 회의 결렬에 급등..WTI 1.57%↑",20210706
71,네이버금융, 경제지표 호조에 일제 상승,20210706
72,네이버금융,"시진핑·메르켈·마크롱 화상회담…현역장성, 성비위로 구속 ",20210706
73,네이버금융, 韓 채권형펀드 2거래일간 2275억원 순유입,20210706
74,네이버금융, 韓 채권형펀드 2거래일간 2275억원 순유입,20210707
75,네이버금융, 코스피 다시 숨고르기… 코스닥은 연중 최고가,20210707
76,네이버금융,"환율, 8원 올라 1138원대..넉달 만에 최고치",20210707
77,네이버금융,"코스피, 3300선 하회…코스닥은 `연중 최고'",20210707
78,네이버금융,"코스피, 3300선 하회…코스닥은 `연중 최고'",20210707
79,네이버금융, 코스피 3280선 후퇴…三電 '깜짝실적'에도 하락,20210707
80,네이버금융,외인 매수에 연중 최고 기록…장중 1050선 터치,20210707
81,네이버금융,외인 매수에 연중 최고 기록…장중 1050선 터치,20210707
82,네이버금융," ""美증시, 경기확장 약화 우려에 '주춤'…韓증시도 쉬어갈 듯""",20210707
83,네이버금융,"美 경제지표 부진에도 강달러..환율, 하루만에 1130원대 회복 전망",20210707
84,네이버금융," 국제유가, OPEC+ 회의 결렬 속 차익매물 실현에 2% 넘게 하락",20210707
85,네이버금융,"""회복세 정점 찍었나"" 일단정지...아마존 4%↑",20210707
86,네이버금융, FOMC 의사록 공개 앞두고 하락,20210707
87,네이버금융, 韓 채권형펀드 3거래일간 3288억원 순유입,20210707
88,네이버금융,오늘 확진자 1200명대 예상…美증시 나스닥 최고치 또 경신 ,20210707
89,네이버금융,美 경제 피크 우려에 다우 0.6%↓ ,20210707
90,네이버금융, 불확실성 속 일제히 하락,20210707
91,네이버금융, 불확실성 속 일제히 하락,20210708
92,네이버금융," 코스피 1% 급락… 외국인·기관, 삼성전자 주식 대량 매도",20210708
93,네이버금융,코로나 4차 유행 공포감…코스피 1%·코스닥 1.23%↓,20210708
94,네이버금융,코로나 4차 유행 공포감…코스피 1%·코스닥 1.23%↓,20210708
95,네이버금융,"환율, 9개월만에 1140원대..'델타 변이'에 위험회피",20210708
96,네이버금융,'외인·기관 팔자' 코스피 3250선 후퇴…환율 이틀새 15원↑,20210708
97,네이버금융, 기관·외인 '팔자'에 하락 마감,20210708
98,네이버금융, 기관·외인 '팔자'에 하락 마감,20210708
99,네이버금융,"코스피·코스닥, 오전 소폭 강세 보여",20210708
100,네이버금융,"""경기 사이클 정점 우려에 지지부진한 증시…韓증시 옵션만기일""",20210708
101,네이버금융,"FOMC 의사록 '안도'에도 달러 강세..환율, 1140원대 돌파 시도",20210708
102,네이버금융," 국제유가, OPEC+ 협상 지연에 하락..WTI 1.6%↓",20210708
103,네이버금융, FOMC 의사록 공개 앞두고 일제히 반등,20210708
