,press,date,0_percent,1_percent,2_percent
0,네이버금융,20210601,0.35714285714285715,0.5,0.14285714285714285
1,네이버금융,20210602,0.5,0.3888888888888889,0.1111111111111111
2,네이버금융,20210603,0.15789473684210525,0.7368421052631579,0.10526315789473684
3,네이버금융,20210604,0.7894736842105263,0.10526315789473684,0.10526315789473684
4,네이버금융,20210605,0.0,1.0,0.0
5,네이버금융,20210606,0.25,0.25,0.5
6,네이버금융,20210607,0.6153846153846154,0.38461538461538464,0.0
7,네이버금융,20210608,0.55,0.1,0.35
8,네이버금융,20210609,0.625,0.1875,0.1875
9,네이버금융,20210610,0.631578947368421,0.05263157894736842,0.3157894736842105
10,네이버금융,20210611,0.5263157894736842,0.3157894736842105,0.15789473684210525
11,네이버금융,20210612,0.3333333333333333,0.6666666666666666,0.0
12,네이버금융,20210613,0.2857142857142857,0.0,0.7142857142857143
13,네이버금융,20210614,0.5,0.25,0.25
14,네이버금융,20210615,0.3,0.5,0.2
15,네이버금융,20210616,0.2631578947368421,0.42105263157894735,0.3157894736842105
16,네이버금융,20210617,0.5,0.2222222222222222,0.2777777777777778
17,네이버금융,20210618,0.47368421052631576,0.2631578947368421,0.2631578947368421
18,네이버금융,20210619,1.0,0.0,0.0
19,네이버금융,20210620,0.0,0.5714285714285714,0.42857142857142855
20,네이버금융,20210621,0.75,0.16666666666666666,0.08333333333333333
21,네이버금융,20210622,0.3,0.5,0.2
22,네이버금융,20210623,0.47368421052631576,0.47368421052631576,0.05263157894736842
23,네이버금융,20210624,0.7,0.15,0.15
24,네이버금융,20210625,0.47058823529411764,0.47058823529411764,0.058823529411764705
25,네이버금융,20210626,0.5,0.5,0.0
26,네이버금융,20210627,0.0,0.8,0.2
27,네이버금융,20210628,0.4166666666666667,0.25,0.3333333333333333
28,네이버금융,20210629,0.5,0.25,0.25
29,네이버금융,20210630,0.5263157894736842,0.42105263157894735,0.05263157894736842
30,네이버금융,20210701,0.6111111111111112,0.2777777777777778,0.1111111111111111
31,네이버금융,20210702,0.55,0.35,0.1
32,네이버금융,20210703,0.0,1.0,0.0
33,네이버금융,20210704,0.0,0.625,0.375
34,네이버금융,20210705,0.2727272727272727,0.6363636363636364,0.09090909090909091
35,네이버금융,20210706,0.3333333333333333,0.4666666666666667,0.2
36,네이버금융,20210707,0.5882352941176471,0.23529411764705882,0.17647058823529413
37,네이버금융,20210708,0.7777777777777778,0.1111111111111111,0.1111111111111111
38,네이버금융,20210709,0.8823529411764706,0.0,0.11764705882352941
39,네이버금융,20210710,0.0,1.0,0.0
40,네이버금융,20210711,0.5714285714285714,0.2857142857142857,0.14285714285714285
41,네이버금융,20210712,0.18181818181818182,0.6363636363636364,0.18181818181818182
42,네이버금융,20210713,0.42105263157894735,0.42105263157894735,0.15789473684210525
43,네이버금융,20210714,0.625,0.3125,0.0625
44,네이버금융,20210715,0.5,0.4375,0.0625
45,네이버금융,20210716,0.9444444444444444,0.0,0.05555555555555555
46,네이버금융,20210717,1.0,0.0,0.0
47,네이버금융,20210718,0.125,0.0,0.875
48,네이버금융,20210719,0.9090909090909091,0.0,0.09090909090909091
49,네이버금융,20210720,0.8,0.1,0.1
50,네이버금융,20210721,0.6666666666666666,0.3333333333333333,0.0
51,네이버금융,20210722,0.2777777777777778,0.7222222222222222,0.0
52,네이버금융,20210723,0.47368421052631576,0.3684210526315789,0.15789473684210525
53,네이버금융,20210724,0.0,1.0,0.0
54,네이버금융,20210725,0.25,0.125,0.625
55,네이버금융,20210726,0.9090909090909091,0.09090909090909091,0.0
56,네이버금융,20210727,0.5882352941176471,0.4117647058823529,0.0
57,네이버금융,20210728,0.7222222222222222,0.05555555555555555,0.2222222222222222
58,네이버금융,20210729,0.5263157894736842,0.2631578947368421,0.21052631578947367
59,네이버금융,20210730,0.75,0.1875,0.0625
60,네이버금융,20210731,1.0,0.0,0.0
61,네이버금융,20210801,0.3333333333333333,0.16666666666666666,0.5
62,네이버금융,20210802,0.4166666666666667,0.4166666666666667,0.16666666666666666
63,네이버금융,20210803,0.45,0.4,0.15
64,네이버금융,20210804,0.2777777777777778,0.6666666666666666,0.05555555555555555
65,네이버금융,20210805,0.5882352941176471,0.23529411764705882,0.17647058823529413
66,네이버금융,20210806,0.5333333333333333,0.3333333333333333,0.13333333333333333
67,네이버금융,20210807,0.0,1.0,0.0
68,네이버금융,20210808,0.0,0.5714285714285714,0.42857142857142855
69,네이버금융,20210809,0.2727272727272727,0.36363636363636365,0.36363636363636365
70,네이버금융,20210810,0.875,0.0625,0.0625
71,네이버금융,20210811,0.6875,0.25,0.0625
72,네이버금융,20210812,0.625,0.375,0.0
73,네이버금융,20210813,0.7857142857142857,0.14285714285714285,0.07142857142857142
74,네이버금융,20210814,0.0,1.0,0.0
75,네이버금융,20210815,0.4,0.0,0.6
76,네이버금융,20210816,1.0,0.0,0.0
77,네이버금융,20210817,0.6842105263157895,0.2631578947368421,0.05263157894736842
78,네이버금융,20210818,0.7058823529411765,0.23529411764705882,0.058823529411764705
79,네이버금융,20210819,0.8235294117647058,0.058823529411764705,0.11764705882352941
80,네이버금융,20210820,0.8888888888888888,0.1111111111111111,0.0
81,네이버금융,20210821,0.0,1.0,0.0
82,네이버금융,20210822,0.2857142857142857,0.0,0.7142857142857143
83,네이버금융,20210823,0.18181818181818182,0.6363636363636364,0.18181818181818182
84,네이버금융,20210824,0.15789473684210525,0.8421052631578947,0.0
85,네이버금융,20210825,0.375,0.4375,0.1875
86,네이버금융,20210826,0.5882352941176471,0.29411764705882354,0.11764705882352941
87,네이버금융,20210827,0.5555555555555556,0.2222222222222222,0.2222222222222222
88,네이버금융,20210828,0.25,0.75,0.0
89,네이버금융,20210829,0.14285714285714285,0.42857142857142855,0.42857142857142855
90,네이버금융,20210830,0.2727272727272727,0.5454545454545454,0.18181818181818182
91,네이버금융,20210831,0.2631578947368421,0.631578947368421,0.10526315789473684
92,네이버금융,20210901,0.5,0.3333333333333333,0.16666666666666666
93,네이버금융,20210902,0.7647058823529411,0.11764705882352941,0.11764705882352941
94,네이버금융,20210903,0.35714285714285715,0.42857142857142855,0.21428571428571427
95,네이버금융,20210904,1.0,0.0,0.0
96,네이버금융,20210905,0.5714285714285714,0.0,0.42857142857142855
97,네이버금융,20210906,0.5833333333333334,0.16666666666666666,0.25
98,네이버금융,20210907,0.6,0.26666666666666666,0.13333333333333333
99,네이버금융,20210908,0.875,0.0625,0.0625
100,네이버금융,20210909,0.9285714285714286,0.0,0.07142857142857142
101,네이버금융,20210910,0.3125,0.5,0.1875
102,네이버금융,20210911,1.0,0.0,0.0
103,네이버금융,20210912,0.6666666666666666,0.0,0.3333333333333333
104,네이버금융,20210913,0.8181818181818182,0.09090909090909091,0.09090909090909091
105,네이버금융,20210914,0.35714285714285715,0.2857142857142857,0.35714285714285715
106,네이버금융,20210915,0.5294117647058824,0.47058823529411764,0.0
107,네이버금융,20210916,0.8666666666666667,0.13333333333333333,0.0
108,네이버금융,20210917,0.5882352941176471,0.35294117647058826,0.058823529411764705
109,네이버금융,20210918,1.0,0.0,0.0
110,네이버금융,20210919,1.0,0.0,0.0
111,네이버금융,20210921,1.0,0.0,0.0
112,네이버금융,20210922,0.2,0.4,0.4
113,네이버금융,20210923,0.5294117647058824,0.4117647058823529,0.058823529411764705
114,네이버금융,20210924,0.42857142857142855,0.42857142857142855,0.14285714285714285
115,네이버금융,20210925,1.0,0.0,0.0
116,네이버금융,20210926,0.8333333333333334,0.16666666666666666,0.0
117,네이버금융,20210927,0.5555555555555556,0.3333333333333333,0.1111111111111111
118,네이버금융,20210928,0.7333333333333333,0.13333333333333333,0.13333333333333333
119,네이버금융,20210929,0.8571428571428571,0.07142857142857142,0.07142857142857142
120,네이버금융,20210930,0.5625,0.375,0.0625
121,네이버금융,20211001,0.9375,0.0,0.0625
122,네이버금융,20211002,0.0,1.0,0.0
123,네이버금융,20211003,0.6,0.2,0.2
124,네이버금융,20211005,0.5,0.14285714285714285,0.35714285714285715
125,네이버금융,20211006,0.6923076923076923,0.3076923076923077,0.0
126,네이버금융,20211007,0.21428571428571427,0.7857142857142857,0.0
127,네이버금융,20211008,0.4666666666666667,0.4,0.13333333333333333
128,네이버금융,20211009,0.0,1.0,0.0
129,네이버금융,20211010,0.8333333333333334,0.16666666666666666,0.0
130,네이버금융,20211011,1.0,0.0,0.0
131,네이버금융,20211012,0.875,0.0625,0.0625
132,네이버금융,20211013,0.4666666666666667,0.5333333333333333,0.0
133,네이버금융,20211014,0.375,0.625,0.0
134,네이버금융,20211015,0.3125,0.5625,0.125
135,네이버금융,20211016,0.0,1.0,0.0
136,네이버금융,20211017,0.16666666666666666,0.6666666666666666,0.16666666666666666
137,네이버금융,20211018,0.5454545454545454,0.2727272727272727,0.18181818181818182
138,네이버금융,20211019,0.23529411764705882,0.6470588235294118,0.11764705882352941
