,date,press,0_percent,1_percent,2_percent,뉴스개수
0,20210601,일반언론,0.2992874109263658,0.0855106888361045,0.6152019002375297,421
1,20210602,일반언론,0.24060150375939848,0.11779448621553884,0.6416040100250626,399
2,20210603,일반언론,0.30162412993039445,0.08120649651972157,0.617169373549884,431
3,20210604,일반언론,0.2840646651270208,0.12009237875288684,0.5958429561200924,433
4,20210605,일반언론,0.3463035019455253,0.07392996108949416,0.5797665369649806,257
5,20210607,일반언론,0.296398891966759,0.10526315789473684,0.5983379501385041,361
6,20210608,일반언론,0.26433915211970077,0.1172069825436409,0.6184538653366584,401
7,20210609,일반언론,0.34,0.1025,0.5575,400
8,20210610,일반언론,0.2911392405063291,0.1189873417721519,0.589873417721519,395
9,20210611,일반언론,0.25,0.09813084112149532,0.6518691588785047,428
10,20210612,일반언론,0.337037037037037,0.08518518518518518,0.5777777777777777,270
11,20210614,일반언론,0.3183098591549296,0.07887323943661972,0.6028169014084507,355
12,20210615,일반언론,0.2457002457002457,0.08108108108108109,0.6732186732186732,407
13,20210616,일반언론,0.2608695652173913,0.09718670076726342,0.6419437340153452,391
14,20210617,일반언론,0.26884422110552764,0.10050251256281408,0.6306532663316583,398
15,20210618,일반언론,0.271461716937355,0.09280742459396751,0.6357308584686775,431
16,20210619,일반언론,0.36059479553903345,0.07063197026022305,0.5687732342007435,269
17,20210621,일반언론,0.3055555555555556,0.10555555555555556,0.5888888888888889,360
18,20210622,일반언론,0.33658536585365856,0.12439024390243902,0.5390243902439025,410
19,20210623,일반언론,0.31738035264483627,0.11586901763224182,0.5667506297229219,397
20,20210624,일반언론,0.30180180180180183,0.07882882882882883,0.6193693693693694,444
21,20210625,일반언론,0.2824074074074074,0.09722222222222222,0.6203703703703703,432
22,20210626,일반언론,0.2782258064516129,0.08870967741935484,0.6330645161290323,248
23,20210628,일반언론,0.28607594936708863,0.09113924050632911,0.6227848101265823,395
24,20210629,일반언론,0.2711864406779661,0.08232445520581114,0.6464891041162227,413
25,20210630,일반언론,0.24473684210526317,0.11052631578947368,0.6447368421052632,380
26,20210701,일반언론,0.30392156862745096,0.09558823529411764,0.6004901960784313,408
27,20210702,일반언론,0.29515418502202645,0.10572687224669604,0.5991189427312775,454
28,20210703,일반언론,0.40562248995983935,0.08433734939759036,0.5100401606425703,249
29,20210705,일반언론,0.3407202216066482,0.1329639889196676,0.5263157894736842,361
30,20210706,일반언론,0.27791563275434245,0.10421836228287841,0.6178660049627791,403
31,20210707,일반언론,0.2915601023017903,0.09207161125319693,0.6163682864450127,391
32,20210708,일반언론,0.3194103194103194,0.10810810810810811,0.5724815724815725,407
33,20210709,일반언론,0.3383947939262473,0.12147505422993492,0.5401301518438177,461
34,20210710,일반언론,0.3948339483394834,0.06642066420664207,0.5387453874538746,271
35,20210712,일반언론,0.35,0.06666666666666667,0.5833333333333334,360
36,20210713,일반언론,0.3472906403940887,0.07142857142857142,0.5812807881773399,406
37,20210714,일반언론,0.35877862595419846,0.08651399491094147,0.55470737913486,393
38,20210715,일반언론,0.3688118811881188,0.07178217821782178,0.5594059405940595,404
39,20210716,일반언론,0.317016317016317,0.0979020979020979,0.585081585081585,429
40,20210717,일반언론,0.31970260223048325,0.03717472118959108,0.6431226765799256,269
41,20210719,일반언론,0.36082474226804123,0.09278350515463918,0.5463917525773195,388
42,20210720,일반언론,0.3491686460807601,0.09738717339667459,0.5534441805225653,421
43,20210721,일반언론,0.3324607329842932,0.11518324607329843,0.5523560209424084,382
44,20210722,일반언론,0.3415233415233415,0.08353808353808354,0.5749385749385749,407
45,20210723,일반언론,0.30969267139479906,0.09219858156028368,0.5981087470449172,423
46,20210724,일반언론,0.3298245614035088,0.07017543859649122,0.6,285
47,20210726,일반언론,0.3002832861189802,0.059490084985835696,0.6402266288951841,353
48,20210727,일반언론,0.3032581453634085,0.11779448621553884,0.5789473684210527,399
49,20210728,일반언론,0.2904040404040404,0.16666666666666666,0.5429292929292929,396
50,20210729,일반언론,0.2957393483709273,0.13784461152882205,0.5664160401002506,399
51,20210730,일반언론,0.27380952380952384,0.12142857142857143,0.6047619047619047,420
52,20210731,일반언론,0.29545454545454547,0.10984848484848485,0.5946969696969697,264
53,20210802,일반언론,0.34534534534534533,0.1111111111111111,0.5435435435435435,333
54,20210803,일반언론,0.3076923076923077,0.1,0.5923076923076923,390
55,20210804,일반언론,0.36464088397790057,0.10220994475138122,0.5331491712707183,362
56,20210805,일반언론,0.2987012987012987,0.11688311688311688,0.5844155844155844,385
57,20210806,일반언론,0.3324742268041237,0.07731958762886598,0.5902061855670103,388
58,20210807,일반언론,0.35019455252918286,0.11673151750972763,0.5330739299610895,257
59,20210809,일반언론,0.3285302593659942,0.09221902017291066,0.579250720461095,347
60,20210810,일반언론,0.30528846153846156,0.11057692307692307,0.5841346153846154,416
61,20210811,일반언론,0.34408602150537637,0.13440860215053763,0.521505376344086,372
62,20210812,일반언론,0.3248730964467005,0.07360406091370558,0.6015228426395939,394
63,20210813,일반언론,0.3120567375886525,0.11583924349881797,0.5721040189125296,423
64,20210814,일반언론,0.3929824561403509,0.10526315789473684,0.5017543859649123,285
65,20210816,일반언론,0.3888888888888889,0.10416666666666667,0.5069444444444444,288
66,20210817,일반언론,0.3015463917525773,0.11082474226804123,0.5876288659793815,388
67,20210818,일반언론,0.32020997375328086,0.09711286089238845,0.5826771653543307,381
68,20210819,일반언론,0.3788659793814433,0.06958762886597938,0.5515463917525774,388
69,20210820,일반언론,0.3491271820448878,0.08229426433915212,0.5685785536159601,401
