,press,date,0_percent,1_percent,2_percent,뉴스개수
0,경향신문,20210601,0.30612244897959184,0.04081632653061224,0.6530612244897959,98
1,경향신문,20210602,0.3068181818181818,0.056818181818181816,0.6363636363636364,88
2,경향신문,20210603,0.32323232323232326,0.06060606060606061,0.6161616161616161,99
3,경향신문,20210604,0.28735632183908044,0.11494252873563218,0.5977011494252874,87
4,경향신문,20210605,0.3333333333333333,0.043478260869565216,0.6231884057971014,69
5,경향신문,20210607,0.3058823529411765,0.11764705882352941,0.5764705882352941,85
6,경향신문,20210608,0.32222222222222224,0.1111111111111111,0.5666666666666667,90
7,경향신문,20210609,0.37755102040816324,0.07142857142857142,0.5510204081632653,98
8,경향신문,20210610,0.3411764705882353,0.11764705882352941,0.5411764705882353,85
9,경향신문,20210611,0.2413793103448276,0.05747126436781609,0.7011494252873564,87
10,경향신문,20210612,0.3333333333333333,0.09090909090909091,0.5757575757575758,66
11,경향신문,20210614,0.28888888888888886,0.06666666666666667,0.6444444444444445,90
12,경향신문,20210615,0.3181818181818182,0.045454545454545456,0.6363636363636364,88
13,경향신문,20210616,0.34408602150537637,0.07526881720430108,0.5806451612903226,93
14,경향신문,20210617,0.25,0.06818181818181818,0.6818181818181818,88
15,경향신문,20210618,0.2727272727272727,0.09090909090909091,0.6363636363636364,88
16,경향신문,20210619,0.30434782608695654,0.11594202898550725,0.5797101449275363,69
17,경향신문,20210621,0.2619047619047619,0.08333333333333333,0.6547619047619048,84
18,경향신문,20210622,0.3176470588235294,0.11764705882352941,0.5647058823529412,85
19,경향신문,20210623,0.36585365853658536,0.06097560975609756,0.573170731707317,82
20,경향신문,20210624,0.3372093023255814,0.011627906976744186,0.6511627906976745,86
21,경향신문,20210625,0.3176470588235294,0.08235294117647059,0.6,85
22,경향신문,20210626,0.23809523809523808,0.07936507936507936,0.6825396825396826,63
23,경향신문,20210628,0.20987654320987653,0.08641975308641975,0.7037037037037037,81
24,경향신문,20210629,0.30120481927710846,0.04819277108433735,0.6506024096385542,83
25,경향신문,20210630,0.3493975903614458,0.012048192771084338,0.6385542168674698,83
26,경향신문,20210701,0.35365853658536583,0.012195121951219513,0.6341463414634146,82
27,경향신문,20210702,0.29213483146067415,0.11235955056179775,0.5955056179775281,89
28,경향신문,20210703,0.3508771929824561,0.07017543859649122,0.5789473684210527,57
29,경향신문,20210705,0.25609756097560976,0.0975609756097561,0.6463414634146342,82
30,경향신문,20210706,0.2911392405063291,0.08860759493670886,0.620253164556962,79
31,경향신문,20210707,0.30952380952380953,0.05952380952380952,0.6309523809523809,84
32,경향신문,20210708,0.34146341463414637,0.06097560975609756,0.5975609756097561,82
33,경향신문,20210709,0.3614457831325301,0.060240963855421686,0.5783132530120482,83
34,경향신문,20210710,0.3939393939393939,0.015151515151515152,0.5909090909090909,66
35,경향신문,20210712,0.3246753246753247,0.09090909090909091,0.5844155844155844,77
36,경향신문,20210713,0.39759036144578314,0.03614457831325301,0.5662650602409639,83
37,경향신문,20210714,0.36585365853658536,0.04878048780487805,0.5853658536585366,82
38,경향신문,20210715,0.3333333333333333,0.09876543209876543,0.5679012345679012,81
39,경향신문,20210716,0.4177215189873418,0.0379746835443038,0.5443037974683544,79
40,경향신문,20210717,0.3013698630136986,0.0410958904109589,0.6575342465753424,73
41,경향신문,20210719,0.3614457831325301,0.04819277108433735,0.5903614457831325,83
42,경향신문,20210720,0.38095238095238093,0.13095238095238096,0.4880952380952381,84
43,경향신문,20210721,0.3466666666666667,0.06666666666666667,0.5866666666666667,75
44,경향신문,20210722,0.2926829268292683,0.08536585365853659,0.6219512195121951,82
45,경향신문,20210723,0.33766233766233766,0.07792207792207792,0.5844155844155844,77
46,경향신문,20210724,0.38571428571428573,0.07142857142857142,0.5428571428571428,70
47,경향신문,20210726,0.3058823529411765,0.08235294117647059,0.611764705882353,85
48,경향신문,20210727,0.32558139534883723,0.09302325581395349,0.5813953488372093,86
49,경향신문,20210728,0.3877551020408163,0.11224489795918367,0.5,98
50,경향신문,20210729,0.18888888888888888,0.15555555555555556,0.6555555555555556,90
51,경향신문,20210730,0.2823529411764706,0.10588235294117647,0.611764705882353,85
52,경향신문,20210731,0.19444444444444445,0.06944444444444445,0.7361111111111112,72
53,경향신문,20210802,0.37349397590361444,0.10843373493975904,0.5180722891566265,83
54,경향신문,20210803,0.32954545454545453,0.1590909090909091,0.5113636363636364,88
55,경향신문,20210804,0.37349397590361444,0.07228915662650602,0.5542168674698795,83
56,경향신문,20210805,0.31521739130434784,0.13043478260869565,0.5543478260869565,92
57,경향신문,20210806,0.45977011494252873,0.034482758620689655,0.5057471264367817,87
58,경향신문,20210807,0.38571428571428573,0.11428571428571428,0.5,70
59,경향신문,20210809,0.3373493975903614,0.060240963855421686,0.6024096385542169,83
60,경향신문,20210810,0.3125,0.075,0.6125,80
61,경향신문,20210811,0.39473684210526316,0.06578947368421052,0.5394736842105263,76
62,경향신문,20210812,0.34146341463414637,0.08536585365853659,0.573170731707317,82
63,경향신문,20210813,0.38636363636363635,0.06818181818181818,0.5454545454545454,88
64,경향신문,20210814,0.36231884057971014,0.10144927536231885,0.5362318840579711,69
65,경향신문,20210816,0.4090909090909091,0.06060606060606061,0.5303030303030303,66
66,경향신문,20210817,0.25287356321839083,0.09195402298850575,0.6551724137931034,87
67,경향신문,20210818,0.3372093023255814,0.023255813953488372,0.6395348837209303,86
68,경향신문,20210819,0.4186046511627907,0.03488372093023256,0.5465116279069767,86
69,경향신문,20210820,0.325,0.0625,0.6125,80
